id,query,road,house_number
7129300520,"47.5112,-122.257",61st Avenue South,10012
6414100192,"47.721,-122.319",Northeast 127th Street,837
5631500400,"47.7379,-122.233",81st Avenue Northeast,15109
2487200875,"47.5208,-122.393",Fauntleroy Way Southwest,9236
1954400510,"47.6168,-122.045",221st Avenue Northeast,907
7237550310,"47.6561,-122.005",Northeast Patterson Way,25005
1321400060,"47.3097,-122.327",South 330th Place,533
2008000270,"47.4095,-122.315",14th Avenue South,21421
2414600126,"47.5123,-122.337",Southwest 102nd Street,216
3793500160,"47.3684,-122.031",232nd Place Southeast,26007
1736800520,"47.6007,-122.145",146th Avenue Southeast,1133
9212900260,"47.69,-122.292",Northeast 85th Street,3169
114101516,"47.7558,-122.229",NE 176th Court,8308
6054650070,"47.6127,-122.045",Northeast 3rd Place,22144
1175000570,"47.67,-122.394",Northwest 57th Street,2825
9297300055,"47.5714,-122.375",33rd Avenue Southwest,3614
1875500060,"47.7277,-121.962",Northeast 141st Place,28252
6865200140,"47.6648,-122.343",North 50th Street,1215
16000397,"47.3089,-122.21",Pike Street Northeast,19
7983200060,"47.3343,-122.306",21st Avenue South,29826
6300500875,"47.7025,-122.341",Interlake Avenue North,10033
2524049179,"47.5316,-122.233",79th Avenue Southeast,7998
7137970340,"47.3266,-122.169",Southeast 307th Place,12840
8091400200,"47.3533,-122.166",Southeast 277th Place,13105
3814700200,"47.3739,-122.172",Southeast 254th Court,12715
1202000200,"47.3048,-122.218",I Street Southeast,316
1794500383,"47.6386,-122.36",West Boston Street,206
3303700376,"47.6221,-122.314",East Harrison Street,1414
5101402488,"47.695,-122.304",Northeast 91st Street,2302
1873100390,"47.7073,-122.11",Northeast 119th Way,17256
8562750320,"47.5391,-122.07",Northwest Granite Peak Lane,NA
2426039314,"47.7274,-122.357",Greenwood Avenue North,13435
461000390,"47.6823,-122.368",9th Avenue Northwest,7326
7589200193,"47.6889,-122.375",Northwest 83rd Street,1420
7955080270,"47.4276,-122.157",138th Avenue Southeast,19504
9547205180,"47.6827,-122.31",17th Avenue Northeast,7349
9435300030,"47.6621,-122.132",Northeast 62nd Court,15645
2768000400,"47.6702,-122.362",Northwest 58th Street,NA
7895500070,"47.3341,-122.282",42nd Avenue South,29840
2078500320,"47.5301,-122.18",120th Place Southeast,8113
5547700270,"47.6145,-122.027",234th Place Northeast,521
7766200013,"47.445,-122.347",Southwest 174th Street,853
