zipcode,ad_season,avg_profit,median_profit
98001,fall,23510.84012307695,24192.00000000003
98001,spring,24139.570447058846,24768.00000000003
98001,summer,24648.50823529414,25228.800000000017
98001,winter,25126.491927272742,26092.800000000017
98002,fall,30588.63333333332,30799.99999999997
98002,spring,30849.048275862046,32159.99999999997
98002,summer,31083.851851851836,32799.99999999997
98002,winter,30924.444444444423,31639.99999999997
98003,fall,28422.24901764704,29740.199999999983
98003,spring,31730.95459459458,32863.59999999998
98003,summer,30795.003866666648,31220.419999999984
98003,winter,29741.275083333312,30616.10999999997
98004,fall,93714.77985882362,96480.00000000012
98004,spring,102400.34953846163,103104.00000000012
98004,summer,90958.12682926838,89280.00000000012
98004,winter,104064.92292413804,100224.00000000012
98005,fall,102034.54545454543,102296.0
98005,spring,99521.23826086955,98792.0
98005,summer,101769.42769230768,103200.0
98005,winter,98325.13599999994,95630.39999999997
98006,fall,52603.400000000045,51110.0
98006,spring,55461.74642857147,56715.0
98006,summer,53293.568132530156,53675.0
98006,winter,54612.26250000004,58187.5
98007,fall,69189.19272727269,68319.99999999994
98007,spring,75516.86153846151,76000.0
98007,summer,73283.59999999998,73680.0
98007,winter,79768.01599999999,79800.0
98008,fall,50890.996363636405,52813.44000000006
98008,spring,52921.530947368454,54763.20000000004
98008,summer,53730.11931428576,53452.80000000005
98008,winter,54338.15466666672,54374.40000000002
98010,fall,36377.173333333325,36211.51999999999
98010,spring,46258.27428571427,44427.919999999984
98010,summer,42015.999999999985,41120.0
98010,winter,40032.741818181814,38600.0
98011,fall,62841.84615384611,64079.99999999994
98011,spring,66997.25217391302,69839.99999999994
98011,summer,61870.0689655172,63999.99999999994
98011,winter,68538.82352941173,69599.99999999994
98014,fall,44136.57142857141,46400.0
98014,spring,44206.929999999986,47920.0
98014,summer,51614.72842105261,53599.83999999997
98014,winter,44400.0,49680.0
98019,fall,53145.33333333332,53600.0
98019,spring,53764.74999999998,54952.0
98019,summer,50915.65241379308,52720.0
98019,winter,51816.444444444445,52000.0
98022,fall,31113.377647058805,30687.404999999984
98022,spring,31716.089999999986,32592.0
98022,summer,31146.935739393917,31912.99999999997
98022,winter,31024.07583333331,31912.99999999997
98023,fall,21040.750000000025,21845.25000000003
98023,spring,21731.202500000018,22206.25000000003
98023,summer,20017.925000000025,20425.00000000003
98023,winter,20866.67083333335,21850.00000000003
98024,fall,46475.92727272725,44000.0
98024,spring,61906.46153846152,63999.99999999994
98024,summer,62219.99999999997,65199.99999999994
98024,winter,51358.4,54400.0
98027,fall,41752.73108108111,43700.00000000006
98027,spring,42316.10116438359,43795.00000000006
98027,summer,41819.87032258068,42750.00000000006
98027,winter,39210.30296875004,41990.00000000006
98028,fall,49625.54111666663,52282.99999999994
98028,spring,51000.72847058818,52622.49999999994
98028,summer,47489.68437499996,50887.65499999997
98028,winter,46953.51768333329,47190.49999999994
98029,fall,54932.449745454585,54846.72000000003
98029,spring,56197.427744680885,57600.0
98029,summer,54117.55542857147,55583.88480000006
98029,winter,51495.1854545455,53625.600000000035
98030,fall,32598.33733333332,33950.0
98030,spring,33620.27402631577,34472.82999999999
98030,summer,33116.30627741934,34371.1158
98030,winter,31036.356679999983,33264.20999999996
98031,fall,33670.181758620674,33950.0
98031,spring,34215.64569230767,34887.01999999996
98031,summer,33414.60299459457,34221.59999999998
98031,winter,32301.790370370352,33271.0
98032,fall,31929.14285714285,29599.99999999997
98032,spring,33487.53333333332,34635.99999999997
98032,summer,33961.26315789473,37440.0
98032,winter,30948.79999999999,32959.99999999997
98033,fall,45516.529545454585,45754.37500000006
98033,spring,51488.80873015876,52060.0
98033,summer,49578.38854838713,51532.75
98033,winter,51895.580487804895,53675.0
98034,fall,35819.95169230774,36005.00000000006
98034,spring,36979.55878378383,38095.00000000006
98034,summer,35475.10357142861,35862.50000000006
98034,winter,35930.91781250004,37615.25000000006
98038,fall,26322.742500000008,26550.125
98038,spring,26402.623089887653,27284.0
98038,summer,27096.53140243903,27583.25
98038,winter,25890.309537037043,26125.0
98039,fall,195542.85714285704,201600.0
98039,spring,210091.4285714285,196000.0
98039,summer,246108.1142857142,225600.0
98039,winter,286219.9999999999,286219.9999999999
98040,fall,103429.52374999992,102545.97499999992
98040,spring,115320.35910370362,119616.03499999992
98040,summer,102883.12002926819,105923.99999999988
98040,winter,118126.38444444437,119836.7099999999
98042,fall,21225.373173076943,21375.00000000003
98042,spring,23565.821325301218,24130.0
98042,summer,22314.95070512822,22607.62500000003
98042,winter,21964.63759615386,23115.87500000003
98045,fall,38190.1698181818,38024.0
98045,spring,41865.06904999998,41279.804999999964
98045,summer,44249.715263157865,43727.59999999995
98045,winter,42393.364999999976,42369.59999999998
98052,fall,45211.332457627155,45296.00000000006
98052,spring,48271.34977011497,49875.0
98052,summer,47721.99354838712,48450.0
98052,winter,46974.65000000003,48319.375
98053,fall,56929.40956097566,54835.20000000007
98053,spring,57766.97868387102,60422.40000000002
98053,summer,55316.163716129086,55238.40000000005
98053,winter,53649.31680000006,55008.00000000006
98055,fall,30225.10299999998,31912.99999999997
98055,spring,32629.660734999976,33916.04999999999
98055,summer,31141.935588235276,32761.75
98055,winter,33233.65499999998,34629.0
98056,fall,31732.85120000003,32256.0
98056,spring,33127.467054545494,33347.52000000005
98056,summer,32901.906837735885,32256.0
98056,winter,33534.89454545458,33753.600000000035
98058,fall,24967.31382978724,25650.0
98058,spring,26036.406478873247,27360.0
98058,summer,26654.26110169492,27540.5
98058,winter,25653.351388888896,26526.375
98059,fall,31572.96500000003,31397.5
98059,spring,33399.90493333337,33155.00000000006
