id,ad_season,zipcode,suggested_buy_price,suggested_sell_price,profit,road,house_number
7129300520,fall,98178,215243.0,245377.02,30134.01999999999,61st Avenue South,10012
2976800796,fall,98178,228920.0,260968.8,32048.79999999999,63rd Avenue South,10658
3352402236,fall,98178,244925.0,279214.5,34289.5,Beacon Avenue South,11708
179000350,fall,98178,188180.0,214525.19999999998,26345.199999999983,44th Avenue South,12253
179003055,fall,98178,203700.0,232217.99999999997,28517.99999999997,South 124th Street,4623
3352402250,fall,98178,116303.0,132585.41999999998,16282.419999999984,Beacon Avenue South,11734
399000195,fall,98178,194000.0,221159.99999999997,27159.99999999997,South 119th Street,6234
2328800130,fall,98178,213400.0,243275.99999999997,29875.99999999997,South Prentice Street,5404
7129300420,fall,98178,250260.0,285296.39999999997,35036.399999999965,62nd Avenue South,10017
185000161,fall,98178,253170.0,288613.8,35443.79999999999,South Langston Road,5615
8068000305,fall,98178,233770.0,266497.8,32727.79999999999,57th Avenue South,10419
7812800865,fall,98178,164900.0,187985.99999999997,23085.99999999997,76th Avenue South,12243
7657600195,fall,98178,193951.5,221104.71,27153.209999999992,77th Avenue South,12210
2520900301,fall,98178,232121.0,264617.94,32496.940000000002,63rd Avenue South,10439
7812800515,fall,98178,154302.75,175905.13499999998,21602.38499999998,South 120th Street,7510
179001425,fall,98178,223100.0,254333.99999999997,31233.99999999997,48th Avenue South,12243
179000505,fall,98178,249290.0,284190.6,34900.59999999998,44th Avenue South,12235
1180002735,fall,98178,260930.0,297460.19999999995,36530.19999999995,South 117th Street,8723
4279900140,fall,98178,243470.0,277555.8,34085.79999999999,61st Avenue South,11410
3352401090,fall,98178,231781.5,264230.91,32449.409999999974,South Avon Street,5357
1180003435,fall,98178,266750.0,304095.0,37345.0,South 118th Street,8414
7192200040,fall,98178,271600.0,309624.0,38024.0,Renton Avenue South,10108
2988800065,fall,98178,272570.0,310729.8,38159.79999999999,South 134th Street,7631
393000385,fall,98178,247350.0,281979.0,34629.0,59th Avenue South,10426
2976800749,fall,98178,145500.0,165870.0,20370.0,Renton Avenue South,10631
7812801590,fall,98178,213303.0,243165.41999999998,29862.419999999984,70th Avenue South,12049
3352400351,fall,98178,194000.0,221159.99999999997,27159.99999999997,51st Avenue South,10712
7812801850,fall,98178,188180.0,214525.19999999998,26345.199999999983,68th Avenue South,12020
3347400525,fall,98178,142590.0,162552.59999999998,19962.599999999977,44th Avenue South,11837
7657600005,fall,98178,242451.5,276394.70999999996,33943.20999999996,76th Avenue South,12004
7689600630,fall,98178,210005.0,239405.69999999998,29400.699999999983,South 128th Street,7002
4059400190,fall,98178,218250.0,248804.99999999997,30554.99999999997,Woodley Avenue South,11424
1123049126,fall,98178,220190.0,251016.59999999998,30826.599999999977,64th Avenue South,12404
3352401476,fall,98178,193988.36,221146.73039999997,27158.370399999985,Beacon Avenue South,11152
7689600215,fall,98178,196425.0,223924.49999999997,27499.49999999997,69th Avenue South,12511
3352400661,fall,98178,131823.0,150278.22,18455.22,South Avon Street,5204
4060000240,summer,98178,199262.25,227158.96499999997,27896.714999999967,69th Place South,11440
3969300030,summer,98178,160050.0,182456.99999999997,22406.99999999997,74th Place South,12646
1180003090,summer,98178,184300.0,210101.99999999997,25801.99999999997,Rainier Avenue North,879
5476200160,summer,98178,159863.76,182244.6864,22380.926399999997,South Bangor Street,5356
7812800310,summer,98178,252200.0,287508.0,35308.0,South 118th Place,7414
3810000565,summer,98178,247350.0,281979.0,34629.0,South 117th Street,8019
3810000202,summer,98178,244149.0,278329.86,34180.859999999986,South 116th Street,8046
4058802105,summer,98178,145500.0,165870.0,20370.0,Crestwood Drive South,10815
5476200123,summer,98178,194000.0,221159.99999999997,27159.99999999997,South Creston Street,5148
7813200115,summer,98178,97000.0,110579.99999999999,13579.999999999985,71st Avenue South,12043
7657000165,summer,98178,194000.0,221159.99999999997,27159.99999999997,79th Avenue South,12037
3348401584,summer,98178,203700.0,232217.99999999997,28517.99999999997,South Augusta Street,5160
3352402195,summer,98178,163930.0,186880.19999999998,22950.199999999983,57th Avenue South,11812
8068000585,summer,98178,227950.0,259862.99999999997,31912.99999999997,55th Avenue South,10425
1180008315,summer,98178,205640.0,234429.59999999998,28789.599999999977,South 124th Street,8536
7657000225,summer,98178,198850.0,226688.99999999997,27838.99999999997,77th Avenue South,12028
2144800615,summer,98178,184300.0,210101.99999999997,25801.99999999997,South 134th Street,7662
3352400325,summer,98178,218250.0,248804.99999999997,30554.99999999997,South Fountain Street,5332
1180007005,summer,98178,257971.5,294087.50999999995,36116.00999999995,South 123rd Place,8544
7812800775,summer,98178,256322.5,292207.64999999997,35885.149999999965,75th Avenue South,12052
2144800117,summer,98178,261900.0,298566.0,36666.0,South 128th Street,7703
7812801925,summer,98178,223100.0,254333.99999999997,31233.99999999997,South 124th Street,6909
1180002075,summer,98178,227950.0,259862.99999999997,31912.99999999997,South 117th Street,8534
4058802255,summer,98178,213351.5,243220.71,29869.209999999992,Crestwood Drive South,11034
7689600330,summer,98178,200790.0,228900.59999999998,28110.599999999977,South 125th Street,7057
2172000035,summer,98178,184300.0,210101.99999999997,25801.99999999997,56th Avenue South,13017
3348401490,summer,98178,257050.0,293037.0,35987.0,Beacon Avenue South,11205
7812800995,summer,98178,194000.0,221159.99999999997,27159.99999999997,Renton Avenue South,12058
4059400515,summer,98178,223051.5,254278.71,31227.209999999992,Lakeridge Drive South,11209
3348401622,summer,98178,216310.0,246593.39999999997,30283.399999999965,South Augusta Street,5130
1180005280,summer,98178,232751.5,265336.70999999996,32585.209999999963,South 120th Street,8541
7961500010,summer,98178,237650.0,270921.0,33271.0,South 124th Street,8537
4059400585,summer,98178,211460.0,241064.39999999997,29604.399999999965,Crestwood Drive South,11257
4060000170,summer,98178,247350.0,281979.0,34629.0,69th Place South,11456
7812800215,summer,98178,227950.0,259862.99999999997,31912.99999999997,South 116th Place,7447
7657000540,summer,98178,160050.0,182456.99999999997,22406.99999999997,77th Avenue South,12244
2144800146,summer,98178,249775.0,284743.5,34968.5,76th Avenue South,13010
7878400043,summer,98178,179450.0,204572.99999999997,25122.99999999997,South 128th Street,6823
6874200960,winter,98178,164900.0,187985.99999999997,23085.99999999997,49th Avenue South,10908
561000075,winter,98178,252200.0,287508.0,35308.0,59th Avenue South,10636
3348401740,winter,98178,182360.0,207890.4,25530.399999999994,South 112th Street,5009
185000118,winter,98178,205640.0,234429.59999999998,28789.599999999977,56th Place South,12028
3352400004,winter,98178,178965.0,204020.09999999998,25055.099999999977,51st Avenue South,10618
3800008,winter,98178,172660.0,196832.4,24172.399999999994,South Langston Road,5590
4060000440,winter,98178,233770.0,266497.8,32727.79999999999,South 115th Street,6905
4136800205,winter,98178,250260.0,285296.39999999997,35036.399999999965,89th Avenue South,11699
4058801230,winter,98178,248320.0,283084.8,34764.79999999999,Cornell Avenue South,10886
7812800681,winter,98178,161020.0,183562.8,22542.79999999999,South 120th Street,7561
7812801125,winter,98178,216213.0,246482.81999999998,30269.819999999978,Renton Avenue South,11928
7657000085,winter,98178,211460.0,241064.39999999997,29604.399999999965,80th Avenue South,12104
179001101,winter,98178,130950.0,149283.0,18333.0,47th Avenue South,12207
1123049027,winter,98178,152775.0,174163.49999999997,21388.49999999997,68th Avenue South,11847
3151600035,winter,98178,253742.3,289266.22199999995,35523.92199999996,South 118th Street,5912
7812800855,winter,98178,154327.0,175932.78,21605.78,75th Avenue South,12222
4440400155,winter,98178,184300.0,210101.99999999997,25801.99999999997,South Eastwood Drive,5909
7812801785,winter,98178,214706.59,244765.5126,30058.92259999999,South 124th Street,6824
3352401037,winter,98178,217280.0,247699.19999999998,30419.199999999983,South Augusta Street,5718
4268200055,spring,98178,237650.0,270921.0,33271.0,South 121st Street,8916
2171400126,spring,98178,260930.0,297460.19999999995,36530.19999999995,61st Avenue South,12035
2171400218,spring,98178,237650.0,270921.0,33271.0,64th Avenue South,12021
3810000860,spring,98178,232800.0,265392.0,32592.0,South 120th Street,7808
2976800550,spring,98178,271604.85,309629.5289999999,38024.678999999946,63rd Avenue South,10734
3810000465,spring,98178,235710.0,268709.39999999997,32999.399999999965,South 118th Street,8046
3352401981,spring,98178,193030.0,220054.19999999998,27024.199999999983,57th Avenue South,11225
2172000750,spring,98178,155200.0,176927.99999999997,21727.99999999997,60th Avenue South,12662
399000025,spring,98178,257050.0,293037.0,35987.0,South 118th Place,6210
9368700031,spring,98178,189150.0,215630.99999999997,26480.99999999997,57th Avenue South,10622
3352400330,spring,98178,209520.0,238852.8,29332.79999999999,South Fountain Street,5332
7812801115,spring,98178,148410.0,169187.4,20777.399999999994,75th Avenue South,12015
9282800065,spring,98178,196910.0,224477.4,27567.399999999994,South 112th Street,7651
3348401095,spring,98178,203700.0,232217.99999999997,28517.99999999997,South Juniper Street,5364
2172000846,spring,98178,240560.0,274238.39999999997,33678.399999999965,South 124th Street,6105
4440400125,spring,98178,221160.0,252122.39999999997,30962.399999999965,South Eastwood Drive,5933
